from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
1006,PARA1,2,0,262__1__124__UZM__4023__1__4023__1_20260419,KPL__1__6313__RAIL__Rail_MTuWThF-XHol_20260419
6733,6730,2,120,7__0__507__TZM__107__2__107__2_20260419,27__1__424__TZM__114__2__114__2_20260419
6055,6017,2,240,1__1__230__TZM__207__2__207__2_20260419,23__0__129__TZM__231__231_20260419
9001,PETO1,2,0,150__1__420__TZM__418__418_20260419,HVL__1__3837__RAIL__Rail_SaSu_+_Hol_20260419
PARA2,1005,2,0,KPL__0__6448__RAIL__Rail_SaSu_+_Hol_20260419,262__0__719__UZM__115__1__115__1_20260419
8251,TAIT1,2,0,120__1__486__TZM__416__416_20260419,HVL__1__3869__RAIL__Rail_SaSu_+_Hol_20260419
PARA2,1004,2,0,KPL__0__6236__RAIL__Rail_MTuWThF-XHol_20260419,250__0__121__UZM__4019__1__4019__1_20260419
PARA2,1005,2,0,KPL__0__6440__RAIL__Rail_SaSu_+_Hol_20260419,262__0__715__UZM__106__2__106__2_20260419
6733,6730,2,120,7__0__471__TZM__218__1__218__1_20260419,27__1__420__TZM__101__2__101__2_20260419
PORI2,2001,2,0,KPL__0__6328__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__2__301__2_20260419
PORI2,2001,2,0,KPL__0__6328__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__5__301__5_20260419
PORI2,2001,2,0,KPL__0__8272__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__2__301__2_20260419
PORI2,2001,2,0,KPL__0__8272__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__5__301__5_20260419
PORI2,2001,2,0,KPL__0__6330__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__2__301__2_20260419
PORI2,2001,2,0,KPL__0__6330__RAIL__Rail_MTuWThF-XHol_20260419,210__0__129__TZM__301__5__301__5_20260419
6733,6730,2,120,7__0__129__TZM__137__137_20260419,27__1__112__TZM__137__137_20260419
6733,6730,2,120,7__0__131__TZM__147__147_20260419,27__1__112__TZM__137__137_20260419
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20260419,226__0__107__TZM__309__4__309__4_20260419
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20260419,226__0__107__TZM__309__8__309__8_20260419
TAIT2,9251,2,0,HVL__0__2642__RAIL__Rail_MTuWThF-XHol_20260419,120__0__147__TZM__607__1__607__1_20260419
WATE2,9140,2,0,HVL__0__3638__RAIL__Rail_MTuWThF-XHol_20260419,160__0__161__TZM__612__612_20260419
WATE2,9140,2,0,HVL__0__4624__RAIL__Rail_MTuWThF-XHol_20260419,160__0__161__TZM__612__612_20260419
WATE2,9140,2,0,HVL__0__3640__RAIL__Rail_MTuWThF-XHol_20260419,160__0__161__TZM__612__612_20260419
UPPE,8579,2,240,HVL__0__3840__RAIL__Rail_SaSu_+_Hol_20260419,111__0__433__TZM__507__1__507__1_20260419
8580,UPPE,2,240,112__1__100__TZM__505__2__505__2_20260419,HVL__1__2609__RAIL__Rail_MTuWThF-XHol_20260419
8140,WATE1,2,0,160__1__156__TZM__406__2__406__2_20260419,HVL__1__3633__RAIL__Rail_MTuWThF-XHol_20260419
8580,UPPE,2,240,111__0__121__TZM__507__2__507__2_20260419,HVL__1__2635__RAIL__Rail_MTuWThF-XHol_20260419
8165,WATE1,2,0,145__0__105__TZM__614__614_20260419,HVL__1__4611__RAIL__Rail_MTuWThF-XHol_20260419
PARA2,1004,2,0,KPL__0__6210__RAIL__Rail_MTuWThF-XHol_20260419,260__0__103__UZM__4012__1__4012__1_20260419
8165,WATE1,2,0,130__1__454__TZM__605__1__605__1_20260419,HVL__1__3841__RAIL__Rail_SaSu_+_Hol_20260419
8165,WATE1,2,0,130__1__728__TZM__406__406_20260419,HVL__1__3841__RAIL__Rail_SaSu_+_Hol_20260419
WAIK,1501,2,120,KPL__0__6352__RAIL__Rail_MTuWThF-XHol_20260419,280__0__159__UZM__4026__1__4026__1_20260419
2002,PORI1,2,0,230__1__138__TZM__321__321_20260419,KPL__1__6333__RAIL__Rail_MTuWThF-XHol_20260419
2002,PORI1,2,0,230__1__138__TZM__321__3__321__3_20260419,KPL__1__6333__RAIL__Rail_MTuWThF-XHol_20260419
PETO2,9001,2,0,HVL__0__3608__RAIL__Rail_MTuWThF-XHol_20260419,150__0__129__TZM__427__427_20260419
8165,WATE1,2,0,150__1__128__TZM__429__429_20260419,HVL__1__2639__RAIL__Rail_MTuWThF-XHol_20260419
WATE2,9140,2,0,HVL__0__2628__RAIL__Rail_MTuWThF-XHol_20260419,170__0__129__TZM__610__1__610__1_20260419
2002,PORI1,2,0,230__1__702__TZM__301__301_20260419,KPL__1__6419__RAIL__Rail_SaSu_+_Hol_20260419
2002,PORI1,2,0,230__1__406__TZM__304__1__304__1_20260419,KPL__1__6419__RAIL__Rail_SaSu_+_Hol_20260419
3081,3081,2,240,19__0__407__TZM__104__4__104__4_20260419,1__1__424__TZM__208__1__208__1_20260419
PORI2,2001,2,0,KPL__0__6238__RAIL__Rail_MTuWThF-XHol_20260419,220__0__137__TZM__313__1__313__1_20260419
7730,7730,2,120,27__0__121__TZM__230__230_20260419,7__1__194__TZM__135__1__135__1_20260419
PORI2,2003,2,0,KPL__0__6240__RAIL__Rail_MTuWThF-XHol_20260419,220__1__136__TZM__313__1__313__1_20260419
PARA2,1004,2,0,KPL__0__6440__RAIL__Rail_SaSu_+_Hol_20260419,250__0__715__UZM__117__117_20260419
WATE2,9140,2,0,HVL__0__3634__RAIL__Rail_MTuWThF-XHol_20260419,160__0__153__TZM__604__2__604__2_20260419
2003,PORI1,2,0,210__1__422__TZM__312__2__312__2_20260419,KPL__1__6451__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,210__1__720__TZM__309__1__309__1_20260419,KPL__1__6451__RAIL__Rail_SaSu_+_Hol_20260419
