stop_pattern_id,stop_id,stop_sequence,timepoint
712_1_20260419,7240,6,0
712_1_20260419,7239,7,0
712_1_20260419,7238,8,0
712_1_20260419,7237,9,0
712_1_20260419,7236,10,0
712_1_20260419,7235,11,0
712_1_20260419,7234,12,0
712_1_20260419,7083,13,1
712_1_20260419,7080,14,0
712_1_20260419,7028,15,0
712_1_20260419,7027,16,0
712_1_20260419,7224,17,1
712_1_20260419,7223,18,0
712_1_20260419,7222,19,0
712_1_20260419,7221,20,0
712_1_20260419,7220,21,0
712_1_20260419,7219,22,0
712_1_20260419,7218,23,0
712_1_20260419,7217,24,1
712_1_20260419,7216,25,0
712_1_20260419,7215,26,0
712_1_20260419,6008,27,1
712_1_20260419,6010,28,1
160_1_20260419,8911,0,1
160_1_20260419,8910,1,0
160_1_20260419,8909,2,0
160_1_20260419,8908,3,0
160_1_20260419,8907,4,0
160_1_20260419,8985,5,1
160_1_20260419,8984,6,0
160_1_20260419,8983,7,0
160_1_20260419,8982,8,0
160_1_20260419,8981,9,0
160_1_20260419,8980,10,0
160_1_20260419,8979,11,0
160_1_20260419,8978,12,0
160_1_20260419,8977,13,0
160_1_20260419,9967,14,0
160_1_20260419,9968,15,0
160_1_20260419,9969,16,0
160_1_20260419,9970,17,0
160_1_20260419,8971,18,1
160_1_20260419,8970,19,0
160_1_20260419,8969,20,0
160_1_20260419,8968,21,0
160_1_20260419,8967,22,0
160_1_20260419,8966,23,0
160_1_20260419,8965,24,0
160_1_20260419,8964,25,0
160_1_20260419,8963,26,0
160_1_20260419,8962,27,0
160_1_20260419,8961,28,0
160_1_20260419,8960,29,0
160_1_20260419,8973,30,0
160_1_20260419,8959,31,0
160_1_20260419,9954,32,0
160_1_20260419,9955,33,0
160_1_20260419,9956,34,1
160_1_20260419,9957,35,0
160_1_20260419,9958,36,0
160_1_20260419,8952,37,0
160_1_20260419,8748,38,0
160_1_20260419,8147,39,1
160_1_20260419,8146,40,0
160_1_20260419,8145,41,0
160_1_20260419,8143,42,0
160_1_20260419,8142,43,0
160_1_20260419,8140,44,1
160_1_20260419,8136,45,0
160_1_20260419,8135,46,0
160_1_20260419,8160,47,0
160_1_20260419,9130,48,1
712_0_20260419,6008,0,1
712_0_20260419,6214,1,0
712_0_20260419,6215,2,0
712_0_20260419,6216,3,0
712_0_20260419,6217,4,1
712_0_20260419,6218,5,0
712_0_20260419,6219,6,0
712_0_20260419,6220,7,0
712_0_20260419,6221,8,0
712_0_20260419,6080,9,0
712_0_20260419,6081,10,1
712_0_20260419,6234,11,0
712_0_20260419,6235,12,0
712_0_20260419,6236,13,0
712_0_20260419,6237,14,0
712_0_20260419,6238,15,0
712_0_20260419,6239,16,0
712_0_20260419,6240,17,0
712_0_20260419,6241,18,1
712_0_20260419,6242,19,0
712_0_20260419,6243,20,0
712_0_20260419,6244,21,0
712_0_20260419,6245,22,0
712_0_20260419,6246,23,1
160_0_20260419,9130,0,1
160_0_20260419,9131,1,0
160_0_20260419,9132,2,0
160_0_20260419,9135,3,0
160_0_20260419,9136,4,0
160_0_20260419,9140,5,1
160_0_20260419,9142,6,0
